"pulls_spent","empirical_probability","cumulative_probability","risk_of_failure"
19,1e-05,1e-05,0.99999
20,1e-05,2e-05,0.99998
21,1e-05,3e-05,0.99997
22,1e-05,4e-05,0.99996
24,1e-05,5e-05,0.99995
25,1e-05,6e-05,0.99994
29,2e-05,8e-05,0.99992
30,2e-05,1e-04,0.9999
31,1e-05,0.00011,0.99989
32,3e-05,0.00014,0.99986
33,1e-05,0.00015,0.99985
34,2e-05,0.00017,0.99983
35,1e-05,0.00018,0.99982
37,1e-05,0.00019,0.99981
38,1e-05,2e-04,0.9998
39,2e-05,0.00022,0.99978
40,2e-05,0.00024,0.99976
41,1e-05,0.00025,0.99975
43,3e-05,0.00028,0.99972
44,1e-05,0.00029,0.99971
45,2e-05,0.00031,0.99969
46,2e-05,0.00033,0.99967
47,3e-05,0.00036,0.99964
48,3e-05,0.00039,0.99961
49,2e-05,0.00041,0.99959
50,4e-05,0.00045,0.99955
51,1e-05,0.00046,0.99954
52,5e-05,0.00051,0.99949
53,3e-05,0.00054,0.99946
54,3e-05,0.00057,0.99943
55,3e-05,6e-04,0.9994
56,1e-05,0.00061,0.99939
57,6e-05,0.00067,0.99933
58,5e-05,0.00072,0.99928
59,3e-05,0.00075,0.99925
60,5e-05,8e-04,0.9992
61,6e-05,0.00086,0.99914
62,3e-05,0.00089,0.99911
63,8e-05,0.00097,0.99903
64,6e-05,0.00103,0.99897
65,2e-05,0.00105,0.99895
66,9e-05,0.00114,0.99886
67,6e-05,0.0012,0.9988
68,7e-05,0.00127,0.99873
69,6e-05,0.00133,0.99867
70,8e-05,0.00141,0.99859
71,1e-04,0.00151,0.99849
72,5e-05,0.00156,0.99844
73,5e-05,0.00161,0.99839
74,5e-05,0.00166,0.99834
75,7e-05,0.00173,0.99827
76,6e-05,0.00179,0.99821
77,1e-04,0.00189,0.99811
78,0.00011,0.002,0.998
79,1e-04,0.0021,0.9979
80,0.00011,0.00221,0.99779
81,9e-05,0.0023,0.9977
82,8e-05,0.00238,0.99762
83,0.00016,0.00254,0.99746
84,9e-05,0.00263,0.99737
85,0.00015,0.00278,0.99722
86,0.00017,0.00295,0.99705
87,0.00017,0.00312,0.99688
88,0.00016,0.00328,0.99672
89,0.00013,0.00341,0.99659
90,0.00028,0.00369,0.99631
91,2e-04,0.00389,0.99611
92,0.00019,0.00408,0.99592
93,0.00024,0.00432,0.99568
94,0.00018,0.0045,0.9955
95,0.00025,0.00475,0.99525
96,3e-04,0.00505,0.99495
97,2e-04,0.00525,0.99475
98,0.00038,0.00563,0.99437
99,0.00032,0.00595,0.99405
100,0.00038,0.00633,0.99367
101,0.00035,0.00668,0.99332
102,0.00022,0.0069,0.9931
103,0.00034,0.00724,0.99276
104,0.00035,0.00759,0.99241
105,0.00034,0.00793,0.99207
106,0.00032,0.00825,0.99175
107,0.00042,0.00867,0.99133
108,0.00042,0.00909,0.99091
109,0.00033,0.00942,0.99058
110,0.00039,0.00981,0.99019
111,0.00053,0.01034,0.98966
112,0.00055,0.01089,0.98911
113,0.00046,0.01135,0.98865
114,0.00043,0.01178,0.98822
115,0.00061,0.01239,0.98761
116,0.00045,0.01284,0.98716
117,0.00044,0.01328,0.98672
118,0.00045,0.01373,0.98627
119,0.00055,0.01428,0.98572
120,0.00053,0.01481,0.98519
121,0.00061,0.01542,0.98458
122,0.00073,0.01615,0.98385
123,0.00064,0.01679,0.98321
124,0.00072,0.01751,0.98249
125,0.00047,0.01798,0.98202
126,0.00063,0.01861,0.98139
127,0.00067,0.01928,0.98072
128,0.00059,0.01987,0.98013
129,7e-04,0.02057,0.97943
130,0.00083,0.0214,0.9786
131,0.00065,0.02205,0.97795
132,0.00071,0.02276,0.97724
133,0.00085,0.02361,0.97639
134,0.00075,0.02436,0.97564
135,0.00074,0.0251,0.9749
136,0.00068,0.02578,0.97422
137,7e-04,0.02648,0.97352
138,0.00084,0.02732,0.97268
139,0.00074,0.02806,0.97194
140,0.00076,0.02882,0.97118
141,0.00082,0.02964,0.97036
142,8e-04,0.03044,0.96956
143,0.00069,0.03113,0.96887
144,0.00087,0.032,0.968
145,0.00089,0.03289,0.96711
146,0.00072,0.03361,0.96639
147,0.00075,0.03436,0.96564
148,0.00089,0.03525,0.96475
149,0.00087,0.03612,0.96388
150,0.00105,0.03717,0.96283
151,0.00079,0.03796,0.96204
152,0.00085,0.03881,0.96119
153,0.00101,0.03982,0.96018
154,0.00134,0.04116,0.95884
155,0.0015,0.04266,0.95734
156,0.00153,0.04419,0.95581
157,0.00147,0.04566,0.95434
158,0.00174,0.0474,0.9526
159,0.00181,0.04921,0.95079
160,0.0017,0.05091,0.94909
161,0.00218,0.05309,0.94691
162,0.00214,0.05523,0.94477
163,0.00204,0.05727,0.94273
164,0.00198,0.05925,0.94075
165,0.00203,0.06128,0.93872
166,0.00206,0.06334,0.93666
167,0.00215,0.06549,0.93451
168,0.00252,0.06801,0.93199
169,0.00252,0.07053,0.92947
170,0.00214,0.07267,0.92733
171,0.00224,0.07491,0.92509
172,0.00239,0.0773,0.9227
173,0.00247,0.07977,0.92023
174,0.00241,0.08218,0.91782
175,0.00222,0.0844,0.9156
176,0.00257,0.08697,0.91303
177,0.00242,0.08939,0.91061
178,0.00244,0.09183,0.90817
179,0.00244,0.09427,0.90573
180,0.00258,0.09685,0.90315
181,0.00259,0.09944,0.90056
182,0.00271,0.10215,0.89785
183,0.00266,0.10481,0.89519
184,0.00275,0.10756,0.89244
185,0.00265,0.11021,0.88979
186,0.00264,0.11285,0.88715
187,0.00255,0.1154,0.8846
188,0.00289,0.11829,0.88171
189,0.00262,0.12091,0.87909
190,0.00255,0.12346,0.87654
191,0.00263,0.12609,0.87391
192,0.00282,0.12891,0.87109
193,0.00278,0.13169,0.86831
194,0.00254,0.13423,0.86577
195,0.0027,0.13693,0.86307
196,0.00252,0.13945,0.86055
197,0.0026,0.14205,0.85795
198,0.00269,0.14474,0.85526
199,0.00296,0.1477,0.8523
200,0.00285,0.15055,0.84945
201,0.00269,0.15324,0.84676
202,0.00292,0.15616,0.84384
203,0.0029,0.15906,0.84094
204,0.00303,0.16209,0.83791
205,0.00309,0.16518,0.83482
206,0.00298,0.16816,0.83184
207,0.00293,0.17109,0.82891
208,0.00284,0.17393,0.82607
209,0.00316,0.17709,0.82291
210,0.00282,0.17991,0.82009
211,0.00276,0.18267,0.81733
212,0.0032,0.18587,0.81413
213,0.0032,0.18907,0.81093
214,0.00314,0.19221,0.80779
215,0.00291,0.19512,0.80488
216,0.00293,0.19805,0.80195
217,0.00302,0.20107,0.79893
218,0.00305,0.20412,0.79588
219,0.00287,0.20699,0.79301
220,0.00325,0.21024,0.78976
221,0.00315,0.21339,0.78661
222,0.00322,0.21661,0.78339
223,0.00318,0.21979,0.78021
224,0.00346,0.22325,0.77675
225,0.00326,0.22651,0.77349
226,0.00399,0.2305,0.7695
227,0.00443,0.23493,0.76507
228,0.00473,0.23966,0.76034
229,0.00553,0.24519,0.75481
230,0.00573,0.25092,0.74908
231,0.00607,0.25699,0.74301
232,0.00672,0.26371,0.73629
233,0.00629,0.27,0.73
234,0.00725,0.27725,0.72275
235,0.00668,0.28393,0.71607
236,0.0064,0.29033,0.70967
237,0.00635,0.29668,0.70332
238,0.00595,0.30263,0.69737
239,0.00583,0.30846,0.69154
240,0.00518,0.31364,0.68636
241,0.00493,0.31857,0.68143
242,0.00507,0.32364,0.67636
243,0.00537,0.32901,0.67099
244,0.00485,0.33386,0.66614
245,0.00489,0.33875,0.66125
246,0.005,0.34375,0.65625
247,0.00466,0.34841,0.65159
248,0.00508,0.35349,0.64651
249,0.00471,0.3582,0.6418
250,0.00435,0.36255,0.63745
251,0.00493,0.36748,0.63252
252,0.00446,0.37194,0.62806
253,0.00484,0.37678,0.62322
254,0.00468,0.38146,0.61854
255,0.00457,0.38603,0.61397
256,0.00458,0.39061,0.60939
257,0.00458,0.39519,0.60481
258,0.00469,0.39988,0.60012
259,0.00495,0.40483,0.59517
260,0.00418,0.40901,0.59099
261,0.00479,0.4138,0.5862
262,0.00459,0.41839,0.58161
263,0.00432,0.42271,0.57729
264,0.00449,0.4272,0.5728
265,0.00452,0.43172,0.56828
266,0.00446,0.43618,0.56382
267,0.00465,0.44083,0.55917
268,0.00488,0.44571,0.55429
269,0.00457,0.45028,0.54972
270,0.00477,0.45505,0.54495
271,0.00446,0.45951,0.54049
272,0.0046,0.46411,0.53589
273,0.00434,0.46845,0.53155
